Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Tom Trbojevic,1,Fullback,80:00,-,-,-,-,-,-,-,-,54,28,224,87,58,1,2,1,-,3,2,-,3.02s,-,-,-,4,-,23,48,0.82,71.43%,5,2,-,-,5,1,30,-,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jason Saab,2,Winger,76:00,4,1,-,-,-,-,-,-,48,14,248,27,32,1,-,-,-,3,1,-,3.93s,-,-,-,1,-,-,14,-,70%,7,2,1,1,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,76:30,-,2024,1,Sea Eagles,Rabbitohs
Tolutau Koula,3,Centre,80:00,-,-,-,-,-,-,-,-,23,15,165,-,62,-,-,-,-,3,-,-,3.71s,-,-,-,-,-,8,23,0.53,72.73%,8,2,1,1,-,-,-,-,-,-,-,-,-,-,3,3,-,-,1,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Reuben Garrick,4,Centre,80:00,16,1,6,6,-,100%,-,-,68,19,214,-,56,1,-,-,-,2,1,-,3.52s,-,-,-,1,1,5,22,0.26,79.17%,19,5,-,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jaxson Paulo,5,Winger,80:00,-,-,-,-,-,-,-,-,12,13,94,44,27,-,-,-,-,2,2,-,4.23s,-,-,-,-,-,5,19,0.38,66.67%,6,3,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Luke Brooks,6,Five-Eighth,80:00,4,1,-,-,-,-,-,-,45,19,97,-,10,1,1,-,-,2,-,-,3.9s,-,-,-,-,1,40,48,2.11,92.31%,24,2,-,-,-,3,60,-,1,2,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Daly Cherry-Evans,7,Halfback,80:00,-,-,-,-,-,-,-,-,53,19,125,-,8,-,-,1,-,2,-,-,4.74s,5,43,-,1,3,53,72,2.79,94.74%,18,1,-,-,-,14,379,1,3,3,-,-,1,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Taniela Paseka,8,Prop,39:00,-,-,-,-,-,-,-,-,31,10,90,20,41,-,-,-,-,2,8,-,3.29s,-,-,-,-,-,-,10,-,95.45%,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,25:54,13:16,2024,1,Sea Eagles,Rabbitohs
Lachlan Croker,9,Hooker,57:00,4,1,-,-,-,-,-,-,41,1,4,-,-,1,-,-,-,1,-,-,-,1,4,-,-,-,51,54,51,86.84%,33,4,1,-,-,2,78,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51:30,05:59,2024,1,Sea Eagles,Rabbitohs
Josh Aloiai,10,Prop,36:00,-,-,-,-,-,-,-,-,31,8,78,7,19,-,-,-,-,-,7,-,3.86s,-,-,-,-,-,-,8,-,100%,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:09,17:53,2024,1,Sea Eagles,Rabbitohs
Haumole Olakau'atu,11,2nd Row,80:00,4,1,-,-,-,-,-,-,70,16,184,-,84,1,-,-,-,6,16,-,3.62s,-,-,-,1,1,3,20,0.19,91.43%,32,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Ben Trbojevic,12,2nd Row,71:00,4,1,-,-,-,-,-,-,53,10,63,-,14,1,-,-,-,4,10,-,3.45s,-,-,-,-,-,2,12,0.2,87.5%,35,4,1,-,-,1,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,71:46,-,2024,1,Sea Eagles,Rabbitohs
Jake Trbojevic,13,Lock,80:00,-,-,-,-,-,-,-,-,49,12,74,7,14,-,-,-,-,-,5,-,3.37s,-,-,-,-,1,12,18,1,86.79%,46,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Karl Lawton,14,Interchange,23:00,-,-,-,-,-,-,-,-,15,1,13,-,6,-,-,-,-,-,-,-,2.92s,1,13,-,-,-,28,29,28,100%,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:31,-,2024,1,Sea Eagles,Rabbitohs
Corey Waddell,15,Interchange,19:00,-,-,-,-,-,-,-,-,6,5,34,-,12,-,-,-,-,-,4,-,3.7s,-,-,-,-,-,-,5,-,75%,6,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:00,-,2024,1,Sea Eagles,Rabbitohs
Ethan Bullemor,16,Interchange,22:00,-,-,-,-,-,-,-,-,19,5,44,15,12,-,-,-,-,1,3,-,3.22s,-,-,-,-,-,-,5,-,83.33%,15,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:50,-,2024,1,Sea Eagles,Rabbitohs
Nathan Brown,17,Interchange,52:00,-,-,-,-,-,-,-,-,26,13,113,-,24,-,-,-,-,-,8,-,4.37s,1,1,-,-,-,7,16,0.54,84%,21,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,43:58,08:14,2024,1,Sea Eagles,Rabbitohs
Jake Arthur,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,1,Sea Eagles,Rabbitohs
Latrell Mitchell,1,Fullback,80:00,8,1,2,5,-,40%,-,-,81,17,120,37,34,1,2,2,-,7,-,-,3.19s,1,6,-,2,4,13,29,0.76,100%,4,-,-,-,3,-,-,-,-,-,-,-,-,-,3,3,-,1,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Alex Johnston,2,Winger,80:00,4,1,-,-,-,-,-,-,42,12,96,45,18,1,-,-,-,4,-,-,3.68s,-,-,-,-,-,4,18,0.33,70%,7,-,3,-,3,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Isaiah Tass,3,Centre,80:00,-,-,-,-,-,-,-,-,19,8,46,-,15,-,-,-,-,1,-,-,3.98s,2,10,-,-,-,4,12,0.5,85%,17,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Richard Kennar,4,Centre,80:00,8,2,-,-,-,-,-,-,58,15,144,-,45,2,-,-,-,5,-,-,3.33s,1,6,-,-,-,3,17,0.2,63.64%,14,4,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jacob Gagai,5,Winger,80:00,4,1,-,-,-,-,-,-,28,11,119,-,22,1,-,-,-,3,-,-,3.78s,-,-,-,-,-,-,12,-,63.64%,7,3,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Cody Walker,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,31,10,40,-,-,-,-,-,-,2,-,-,7.64s,1,2,-,-,-,21,30,2.1,81.48%,22,5,-,-,-,7,236,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
